Games: 3182, AI: 11, Random: 0, Percentage: 100, Reward: 11, Steps: 46591, Epsilon: 0.009
Games: 3183, AI: 13, Random: 0, Percentage: 100, Reward: 13, Steps: 46604, Epsilon: 0.009
Games: 3184, AI: 8, Random: 0, Percentage: 100, Reward: 8, Steps: 46612, Epsilon: 0.009
Games: 3185, AI: 10, Random: 0, Percentage: 100, Reward: 10, Steps: 46622, Epsilon: 0.009
Games: 3186, AI: 10, Random: 0, Percentage: 100, Reward: 10, Steps: 46632, Epsilon: 0.009
Games: 3187, AI: 10, Random: 0, Percentage: 100, Reward: 10, Steps: 46642, Epsilon: 0.009
Games: 3188, AI: 11, Random: 0, Percentage: 100, Reward: 11, Steps: 46653, Epsilon: 0.009
Games: 3189, AI: 12, Random: 0, Percentage: 100, Reward: 12, Steps: 46665, Epsilon: 0.009
Games: 3190, AI: 12, Random: 0, Percentage: 100, Reward: 12, Steps: 46677, Epsilon: 0.009
Games: 3191, AI: 10, Random: 0, Percentage: 100, Reward: 10, Steps: 46687, Epsilon: 0.009
Games: 3192, AI: 11, Random: 0, Percentage: 100, Reward: 11, Steps: 46698, Epsilon: 0.009
Games: 3193, AI: 11, Random: 0, Percentage: 100, Reward: 11, Steps: 46709, Epsilon: 0.009
Games: 3194, AI: 11, Random: 0, Percentage: 100, Reward: 11, Steps: 46720, Epsilon: 0.009
Games: 3195, AI: 9, Random: 0, Percentage: 100, Reward: 9, Steps: 46729, Epsilon: 0.009
Games: 3196, AI: 9, Random: 0, Percentage: 100, Reward: 9, Steps: 46738, Epsilon: 0.009
Games: 3197, AI: 11, Random: 0, Percentage: 100, Reward: 11, Steps: 46749, Epsilon: 0.008
Games: 3198, AI: 11, Random: 0, Percentage: 100, Reward: 11, Steps: 46760, Epsilon: 0.008
Games: 3199, AI: 9, Random: 0, Percentage: 100, Reward: 9, Steps: 46769, Epsilon: 0.008
Games: 3200, AI: 9, Random: 0, Percentage: 100, Reward: 9, Steps: 46778, Epsilon: 0.008
Games: 3201, AI: 13, Random: 0, Percentage: 100, Reward: 13, Steps: 46791, Epsilon: 0.008
Games: 3202, AI: 12, Random: 0, Percentage: 100, Reward: 12, Steps: 46803, Epsilon: 0.008
Games: 3203, AI: 11, Random: 0, Percentage: 100, Reward: 11, Steps: 46814, Epsilon: 0.008
Games: 3204, AI: 9, Random: 0, Percentage: 100, Reward: 9, Steps: 46823, Epsilon: 0.008
Games: 3205, AI: 11, Random: 0, Percentage: 100, Reward: 11, Steps: 46834, Epsilon: 0.008
Games: 3206, AI: 11, Random: 0, Percentage: 100, Reward: 11, Steps: 46845, Epsilon: 0.008
Games: 3207, AI: 11, Random: 0, Percentage: 100, Reward: 11, Steps: 46856, Epsilon: 0.008
Games: 3208, AI: 10, Random: 0, Percentage: 100, Reward: 10, Steps: 46866, Epsilon: 0.008
Games: 3209, AI: 11, Random: 0, Percentage: 100, Reward: 11, Steps: 46877, Epsilon: 0.008
